"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.564806042E0,4.507006051E-1,1.112584805E-1,3.731488377E-2
3.574830042E0,5.259012070E-1,2.836496007E-1,3.658532667E-1
3.584853042E0,5.047293162E-1,2.626861632E-1,7.171434581E-1
3.594876042E0,6.065853278E-1,2.056500828E-1,9.869231710E-1
3.604899042E0,7.463267653E-1,4.372436768E-1,1.114797684E0
3.614922042E0,7.578498732E-1,7.647397935E-1,1.133602915E0
3.624946042E0,7.021982673E-1,7.694000244E-1,1.368254310E0
3.634969042E0,5.795315766E-1,6.448110616E-1,1.641530073E0
3.644992042E0,4.379789641E-1,6.543718439E-1,1.664055594E0
3.655015042E0,2.917658284E-1,6.620077229E-1,1.437426871E0
3.665038042E0,2.184543157E-1,7.533236897E-1,1.154959285E0
3.675062042E0,2.357645591E-1,9.246664041E-1,6.699343546E-1
3.685085042E0,2.651900871E-1,1.093583109E0,1.202341028E-1
3.695108042E0,2.816720724E-2,1.179238386E0,-6.754235744E-2
3.705131042E0,-6.556643710E-2,1.133593851E0,-1.052380411E-1
3.715154042E0,-1.577093464E-1,1.053557163E0,-1.714858250E-1
3.725178042E0,-3.332296041E-1,9.777445042E-1,-1.369371128E-1
3.735201042E0,-5.056368041E-1,1.020216925E0,-2.368423471E-1
3.745224042E0,-6.795549247E-1,1.266074801E0,-3.953065690E-1
3.755247042E0,-5.607909581E-1,1.350208633E0,-3.701733358E-1
3.765270042E0,-4.816111797E-1,1.444592049E0,-1.986310852E-1
3.775294042E0,-6.133743837E-1,1.686096089E0,-2.882899511E-1
3.785317042E0,-7.090058881E-1,1.973886688E0,-5.104642653E-1
3.795340042E0,-5.186246395E-1,2.151127489E0,-2.912262766E-1
3.805363042E0,-3.281185529E-1,2.135059340E0,7.886490583E-2
3.815386042E0,-2.766118920E-1,2.018136077E0,4.187085879E-1
3.825410042E0,-2.954609764E-1,1.775805826E0,9.758114147E-1
