"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.446847833E0,-3.755851746E0,-5.149871826E1,3.768295288E0
4.456870833E0,-3.493122101E0,-5.164843750E1,3.890335083E0
4.466893833E0,-3.661140442E0,-5.171615601E1,4.106613159E0
4.476916833E0,-3.749546051E0,-5.184799194E1,3.745529175E0
4.486940833E0,-3.785907745E0,-5.181365967E1,3.762573242E0
4.496963833E0,-3.842288971E0,-5.174697876E1,3.364212036E0
4.506986833E0,-4.074951172E0,-5.171417236E1,3.365570068E0
4.517009833E0,-4.296997070E0,-5.185702515E1,2.794647217E0
4.527032833E0,-4.238983154E0,-5.182302856E1,2.248825073E0
4.537056833E0,-4.355175018E0,-5.208535767E1,1.830871582E0
4.547079833E0,-4.508102417E0,-5.188198853E1,1.800323486E0
4.557102833E0,-4.693981171E0,-5.193078613E1,1.559783936E0
4.567125833E0,-4.950000763E0,-5.177276611E1,1.185852051E0
4.577148833E0,-5.108818054E0,-5.176727295E1,7.630004883E-1
4.587172833E0,-5.359706879E0,-5.182226562E1,5.321197510E-1
4.597195833E0,-5.192653656E0,-5.197290039E1,4.344940186E-1
4.607218833E0,-5.493614197E0,-5.200582886E1,8.021545410E-2
4.617241833E0,-5.779720306E0,-5.187896729E1,-7.429504395E-2
4.627264833E0,-5.956741333E0,-5.160055542E1,-6.374053955E-1
4.637288833E0,-6.284408569E0,-5.181890869E1,-1.255386353E0
4.647311833E0,-6.431537628E0,-5.187869263E1,-1.522048950E0
4.657334833E0,-6.371738434E0,-5.196905518E1,-1.972351074E0
4.667357833E0,-6.676086426E0,-5.191946411E1,-2.392410278E0
4.677380833E0,-6.811294556E0,-5.169821167E1,-3.234954834E0
4.687404833E0,-7.002239227E0,-5.164169312E1,-3.080108643E0
4.697427833E0,-7.191680908E0,-5.173004150E1,-3.352844238E0
4.707450833E0,-7.149688721E0,-5.152539062E1,-3.452606201E0
4.717473833E0,-7.190517426E0,-5.167489624E1,-3.435409546E0
4.727496833E0,-7.076725006E0,-5.140127563E1,-3.676376343E0
4.737520833E0,-7.117321014E0,-5.141207886E1,-3.835678101E0
4.747543833E0,-7.212253571E0,-5.155499268E1,-3.785781860E0
4.757566833E0,-7.088859558E0,-5.148974609E1,-3.729385376E0
4.767589833E0,-7.082592010E0,-5.139413452E1,-4.239700317E0
4.777612833E0,-7.049335480E0,-5.141226196E1,-4.425628662E0
4.787636833E0,-7.063426971E0,-5.165960693E1,-4.091781616E0
4.797659833E0,-6.967262268E0,-5.146862793E1,-4.254150391E0
4.807682833E0,-7.045822144E0,-5.165753174E1,-4.080291748E0
4.817705833E0,-6.931743622E0,-5.152407837E1,-4.441986084E0
4.827728833E0,-7.133247375E0,-5.136700439E1,-4.522521973E0
4.837752833E0,-7.094635010E0,-5.146636963E1,-4.763229370E0
4.847775833E0,-6.866546631E0,-5.142144775E1,-4.876800537E0
4.857798833E0,-7.038379669E0,-5.141909790E1,-5.097396851E0
4.867821833E0,-6.921642303E0,-5.136459351E1,-5.924758911E0
4.877844833E0,-7.011531830E0,-5.137246704E1,-6.050888062E0
4.887868833E0,-7.126647949E0,-5.146868896E1,-6.251068115E0
4.897891833E0,-7.209327698E0,-5.138952637E1,-6.000213623E0
4.907914833E0,-7.155845642E0,-5.137442017E1,-6.290222168E0
4.917937833E0,-7.357254028E0,-5.141369629E1,-6.077041626E0
4.927960833E0,-7.631359100E0,-5.119580078E1,-6.564483643E0
4.937984833E0,-7.727401733E0,-5.136193848E1,-6.076766968E0
4.948007833E0,-7.996845245E0,-5.131427002E1,-6.340423584E0
4.958030833E0,-8.148033142E0,-5.130401611E1,-6.084045410E0
4.968053833E0,-8.339748383E0,-5.094512939E1,-6.198303223E0
4.978076833E0,-8.123367310E0,-5.124746704E1,-5.982040405E0
4.988100833E0,-8.263095856E0,-5.135095215E1,-6.192199707E0
4.998123833E0,-8.337947845E0,-5.096615601E1,-6.376815796E0
5.008146833E0,-8.091121674E0,-5.106832886E1,-6.655792236E0
5.018169833E0,-8.362880707E0,-5.093759155E1,-7.085311890E0
5.028192833E0,-8.464580536E0,-5.101623535E1,-6.823287964E0
5.038216833E0,-8.415462494E0,-5.102270508E1,-6.743255615E0
5.048239833E0,-8.445552826E0,-5.095794678E1,-6.957946777E0
5.058262833E0,-8.451736450E0,-5.104043579E1,-6.634185791E0
5.068285833E0,-8.456062317E0,-5.104638672E1,-6.574539185E0
5.078308833E0,-8.458309174E0,-5.119592285E1,-6.629074097E0
5.088332833E0,-8.215301514E0,-5.130227661E1,-6.328781128E0
5.098355833E0,-8.350082397E0,-5.104980469E1,-6.671707153E0
5.108378833E0,-8.145236969E0,-5.122283936E1,-6.579086304E0
5.118401833E0,-8.066345215E0,-5.118740845E1,-6.236206055E0
5.128424833E0,-8.091171265E0,-5.120590210E1,-6.249374390E0
5.138448833E0,-8.126117706E0,-5.138931274E1,-6.227813721E0
5.148471833E0,-7.955390930E0,-5.119924927E1,-6.349456787E0
5.158494833E0,-7.887424469E0,-5.107238770E1,-6.629379272E0
5.168517833E0,-7.785797119E0,-5.102182007E1,-6.436325073E0
5.178540833E0,-7.890975952E0,-5.113055420E1,-6.299682617E0
5.188564833E0,-7.669975281E0,-5.127578735E1,-6.357879639E0
5.198587833E0,-7.665115356E0,-5.106436157E1,-6.177780151E0
5.208610833E0,-7.585224152E0,-5.117669678E1,-6.602371216E0
5.218633833E0,-7.864345551E0,-5.121505737E1,-6.497100830E0
5.228656833E0,-7.734516144E0,-5.132943726E1,-6.530868530E0
5.238680833E0,-7.589508057E0,-5.125192261E1,-6.974014282E0
5.248703833E0,-7.853698730E0,-5.100427246E1,-6.654907227E0
5.258726833E0,-7.535892487E0,-5.107247925E1,-6.993820190E0
5.268749833E0,-7.562397003E0,-5.120483398E1,-6.602722168E0
5.278772833E0,-7.686119080E0,-5.124923706E1,-6.345764160E0
5.288796833E0,-7.646293640E0,-5.133523560E1,-5.839187622E0
5.298819833E0,-7.559780121E0,-5.130996704E1,-5.811126709E0
5.308842833E0,-7.800724030E0,-5.148425293E1,-5.640563965E0
5.318865833E0,-7.588867188E0,-5.131283569E1,-5.716903687E0
5.328888833E0,-7.546405792E0,-5.137048340E1,-5.436904907E0
5.338912833E0,-7.873416901E0,-5.129953003E1,-5.543319702E0
5.348935833E0,-8.059665680E0,-5.116433716E1,-5.709487915E0
5.358958833E0,-8.165496826E0,-5.126257324E1,-5.878723145E0
5.368981833E0,-8.161994934E0,-5.135949707E1,-5.664566040E0
5.379004833E0,-8.296566010E0,-5.131930542E1,-6.033782959E0
5.389028333E0,-8.206840515E0,-5.126379395E1,-6.016067505E0
5.399051333E0,-8.417919159E0,-5.093673706E1,-5.911987305E0
5.409074333E0,-8.688934326E0,-5.101867676E1,-5.842544556E0
5.419097333E0,-8.939754486E0,-5.105172729E1,-5.742767334E0
5.429120333E0,-8.986099243E0,-5.085147095E1,-5.598495483E0
5.439144333E0,-9.153083801E0,-5.067184448E1,-5.730804443E0
5.449167333E0,-9.108356476E0,-5.064791870E1,-5.812957764E0
5.459190333E0,-9.267684937E0,-5.082165527E1,-5.637268066E0
5.469213333E0,-9.656688690E0,-5.082275391E1,-5.669006348E0
5.479236333E0,-9.789947510E0,-5.080603027E1,-5.728637695E0
5.489260333E0,-1.003726196E1,-5.060482788E1,-5.570907593E0
5.499283333E0,-1.008924484E1,-5.081307983E1,-5.840881348E0
5.509306333E0,-1.034743500E1,-5.079763794E1,-5.872161865E0
5.519329333E0,-1.042492676E1,-5.098416138E1,-5.789703369E0
5.529352333E0,-1.071502304E1,-5.065209961E1,-5.903152466E0
5.539376333E0,-1.096710968E1,-5.046313477E1,-5.984252930E0
5.549399333E0,-1.130474854E1,-5.050396729E1,-6.095321655E0
5.559422333E0,-1.146683121E1,-5.045986938E1,-6.119003296E0
5.569445333E0,-1.175275421E1,-5.050509644E1,-6.736221313E0
5.579468333E0,-1.172028732E1,-5.033374023E1,-6.666763306E0
5.589492333E0,-1.147258759E1,-5.028009033E1,-6.558471680E0
5.599515333E0,-1.150024414E1,-5.030310059E1,-6.385131836E0
5.609538333E0,-1.158067703E1,-5.045343018E1,-6.574050903E0
5.619561333E0,-1.173062897E1,-5.046945190E1,-6.533050537E0
5.629584333E0,-1.155532455E1,-5.039248657E1,-6.229278564E0
5.639608333E0,-1.143488312E1,-5.038488770E1,-6.330657959E0
5.649631333E0,-1.129787445E1,-5.048019409E1,-6.455932617E0
5.659654333E0,-1.122809601E1,-5.041256714E1,-6.434570312E0
5.669677333E0,-1.112601089E1,-5.046301270E1,-6.466354370E0
5.679700333E0,-1.096900558E1,-5.046118164E1,-6.789810181E0
5.689724333E0,-1.097736359E1,-5.061669922E1,-6.456542969E0
5.699747333E0,-1.084871674E1,-5.072744751E1,-6.394790649E0
5.709770333E0,-1.094105148E1,-5.050308228E1,-6.647033691E0
5.719793333E0,-1.101132202E1,-5.057968140E1,-6.360488892E0
5.729816333E0,-1.099398041E1,-5.056201172E1,-6.437103271E0
5.739840333E0,-1.081631088E1,-5.074645996E1,-6.434738159E0
5.749863333E0,-1.069043350E1,-5.077972412E1,-6.825576782E0
5.759886333E0,-1.072944641E1,-5.051989746E1,-6.987899780E0
5.769909333E0,-1.065611649E1,-5.052810669E1,-6.993591309E0
5.779932333E0,-1.090391922E1,-5.062182617E1,-7.091217041E0
5.789956333E0,-1.094762802E1,-5.057537842E1,-7.149536133E0
5.799979333E0,-1.086325455E1,-5.053009033E1,-7.300552368E0
5.810002333E0,-1.097409439E1,-5.035263062E1,-7.321563721E0
5.820025333E0,-1.108853912E1,-5.048129272E1,-7.365875244E0
5.830048333E0,-1.097736740E1,-5.055691528E1,-7.221435547E0
5.840072333E0,-1.104289246E1,-5.046719360E1,-7.216156006E0
5.850095333E0,-1.109802246E1,-5.040362549E1,-7.247055054E0
5.860118333E0,-1.118183899E1,-5.024047852E1,-7.234375000E0
5.870141333E0,-1.107006073E1,-5.056665039E1,-7.613235474E0
5.880164333E0,-1.121396255E1,-5.082348633E1,-7.046279907E0
5.890188333E0,-1.104120636E1,-5.079525757E1,-6.600250244E0
5.900211333E0,-1.082542801E1,-5.055541992E1,-6.623611450E0
5.910234333E0,-1.069353104E1,-5.048715210E1,-6.526062012E0
5.920257333E0,-1.085933304E1,-5.082415771E1,-6.369827271E0
5.930280333E0,-1.108132172E1,-5.085189819E1,-6.128402710E0
5.940304333E0,-1.100662231E1,-5.063656616E1,-6.135665894E0
5.950327333E0,-1.079628372E1,-5.057943726E1,-6.159896851E0
5.960350333E0,-1.074106979E1,-5.056213379E1,-6.514602661E0
5.970373333E0,-1.068158340E1,-5.072369385E1,-6.403152466E0
5.980397333E0,-1.066802597E1,-5.079452515E1,-6.385055542E0
5.990420333E0,-1.090558624E1,-5.069070435E1,-6.620452881E0
6.000443333E0,-1.070765305E1,-5.061196899E1,-6.507934570E0
6.010466333E0,-1.056471252E1,-5.074697876E1,-6.471786499E0
6.020489333E0,-1.056954956E1,-5.085516357E1,-6.463638306E0
6.030513333E0,-1.065856171E1,-5.064517212E1,-6.614242554E0
6.040536333E0,-1.084222031E1,-5.048458862E1,-6.883361816E0
6.050559333E0,-1.076161194E1,-5.023663330E1,-6.960174561E0
6.060582333E0,-1.083785248E1,-5.030648804E1,-6.855148315E0
6.070605333E0,-1.071853638E1,-5.090884399E1,-6.969009399E0
6.080629333E0,-1.090177536E1,-5.075424194E1,-6.531494141E0
6.090652333E0,-1.082728958E1,-5.087677002E1,-6.684936523E0
6.100675333E0,-1.049941635E1,-5.074563599E1,-6.963836670E0
6.110698333E0,-1.068168640E1,-5.058807373E1,-6.877258301E0
6.120721333E0,-1.064847183E1,-5.066723633E1,-7.007293701E0
